Date,AAPL,ABB,ADBE,AEP,AMGN,AMZN,BA,BBD,BP,BTI,C,CAT,CB,CELG,CODI,COST,CRH,CVS,D,E,EIX,EOG,ETN,FDX,GOOGL,GSK,HMC,HON,HRG,IEP,INTC,JNJ,JPM,MDLZ,MS,MSFT,NEE,NFLX,NVDA,NVS,OKE,OXY,PICO,REX,RIO,SAP,SCHW,SU,TM,TSM,UN,WBA,WEC,WMT
2008-02-11,300358100,3588400,9909400,3886900,8998900,7763700,4898200,14663100,5510300,245600,7130400,4979000,2735500,6172000,118400,4825100,48500,12904900,2054000,614300,1350200,10868000,3092000,1762700,11640300,3530000,390600,6941700,25300,6300,53777900,11133400,25874000,9266500,14941100,156814100,1612600,9594900,12593300,1209400,1554300,9111000,123600,94000,1520800,1625400,14720100,3286200,535400,11406000,1478700,6231300,1359000,21552900
2008-02-12,306495000,5480600,9894800,3772800,7679500,9449000,7980000,21660300,5516800,200400,8506500,6703400,3117000,9878400,123800,4451900,64300,10387100,3411400,1100000,1683100,8002000,3036800,1971000,13311200,3289400,753500,5510400,5600,18500,57734900,11421300,27193400,9822400,18691400,84365900,1696300,7427700,15242200,1630100,1184900,6825500,75700,117700,1790400,2959000,15360800,4610600,774900,10723200,1137700,6492000,2161000,23367400
2008-02-13,242133500,28694800,9843400,2681500,8933500,11070300,6405000,14435700,3963200,168800,10378800,7502000,3205400,6906400,148000,4922500,70800,9340500,3403100,659100,1799500,7314800,2989800,1880700,13236100,1935800,859300,3483000,1800,114100,49788900,11190600,26533400,9227400,19850100,88986200,1708200,7099400,18557800,1309400,1090500,6834600,80300,101300,1003200,2333400,14334000,2842000,632900,10441700,1256900,5655700,1635400,16078600
2008-02-14,238524300,12573600,6616600,3625600,6882300,7497200,6631600,10501700,3123000,180800,6563000,5418800,2245800,7106400,80100,4277400,53300,14046100,2183100,860100,1275400,7077000,2996400,1928300,12940400,1568500,780200,5108800,0,28600,71583500,10864100,31180000,7647600,20165600,69113500,1481800,6273400,54607400,1669000,855900,9215400,96500,52400,1135200,1856200,12370800,3532400,361600,19969700,2211300,4841900,864800,18011900
2008-02-15,225325100,13747700,5665200,11887400,8805100,11120100,5749300,9449400,3394600,190200,8737600,5355800,2389800,7770000,199400,4250900,66000,10889000,2744100,1247200,1456200,6757400,3774800,2091500,10469700,4181600,407800,22017600,4000,28000,78256600,11916000,29031400,23086000,23014400,68166100,1825800,6734700,20434100,988900,706100,6736900,104700,60400,663200,1828400,11603900,2850400,315800,12235200,2199600,4997100,1203000,25832500
2008-02-19,251261500,12010600,6413100,3461700,8743700,7109200,4158300,10638100,3337200,217200,6995500,5415300,1881300,6250200,111900,3887200,44500,11030300,1801300,753700,1223200,7992000,3291600,3426800,12688000,2130800,514700,5774500,3400,15700,65726300,10392600,25811900,9964100,17433900,68261200,1413800,9839200,13965200,1600600,856600,8106000,67300,55500,2131200,2139100,15036600,5037200,933800,19628800,1134200,4366400,874400,22027200
2008-02-20,241859800,9239900,6438600,3459300,10057400,6450700,7526400,10907100,4579000,395600,7415600,4717500,2276400,11115400,128100,4911500,41500,11387300,2309800,792300,1940600,5369800,4147400,2354200,13311000,3082600,491900,6134400,3000,19400,72005800,13772900,30149700,10137900,19134400,93056200,1897300,12815600,18975400,3231900,796100,5305300,85900,116600,1000000,1494300,21593500,4855200,471500,12835300,1088600,5389500,1311800,21676800
2008-02-21,234528700,9892400,6057000,2486500,11603900,13150800,6688300,10057100,4600500,178600,7836500,5371200,1849300,9499400,91600,6183500,59400,11026500,2085700,579700,2037500,5600800,5200600,2227900,11344200,2588300,362400,3863000,8900,24600,78890400,11085000,32878200,9718700,13388700,98776500,1892100,7112000,16106800,1876000,1110600,6874400,101900,86200,1250800,1732900,17268100,3671400,479600,18506000,941700,7977300,1485800,22399700
2008-02-22,382469500,7000500,5974300,2082400,7689800,12342700,5229100,10694300,3314200,130600,8675300,5231500,2123000,9872000,81600,4368600,45300,14247300,1718500,720200,1747400,4145000,4421000,2204500,11020700,2377900,275800,5430200,2600,20600,134283800,10142300,30452700,7091900,12847800,125705400,1404900,5740000,18076300,1336600,1451200,6315200,97500,80300,1159600,3055100,11841500,3844200,923000,13163100,1144500,7957300,1237800,19518900
2008-02-25,314193600,8587800,8105100,3245500,7117100,7858200,5450600,14399500,3475600,191800,12003200,5190100,2830500,11759000,118400,5986000,67100,9418200,1942200,767200,1505700,9753400,3714600,2074200,16728800,2095200,830800,5306300,1000,21100,82397200,9979000,27917200,6496400,14734800,109974300,1383000,6801900,16794600,1509700,1193300,7006600,117600,80300,1043600,1700200,17077000,3679200,528100,13565300,1366900,5957300,1295000,25536400
